text,label
Why the housing crisis is forcing a generation to rethink the American dream.,Moderate
ACT NOW: Global elites meeting this week to finalize full enslavement of mankind!,High
Scientists are finally admitting what many people suspected for years.,Moderate
The hidden agenda behind the new education reforms exposed by insiders.,Moderate
Why increasing numbers of citizens are choosing to protest rather than vote.,Moderate
BREAKING: Satellite data confirms government is manipulating wind patterns for control!,High
PANIC NOW: Scientists hid data showing the poles will shift catastrophically!,High
People are waking up to the manipulation happening right in front of them.,Moderate
Why more families are choosing to homeschool than ever before in history.,Moderate
The hidden psychological effects of social media on teenagers exposed at last.,Moderate
International trade talks are scheduled to resume in Geneva next week.,Low
Why the gap between the rich and everyone else keeps widening every year.,Moderate
A growing number of citizens believe change is overdue and are demanding it.,Moderate
URGENT REVELATION: Planned economic collapse will trigger martial law this year!,High
The university announced scholarships for students in STEM programs.,Low
Marine biologists documented new behavioral patterns in humpback whales.,Low
The tourism board published updated visitor statistics for the past quarter.,Low
EXPOSED COVER-UP: Thousands dying from 5G radiation but mainstream media is silent!,High
The real reason prices keep rising that nobody is talking about.,Moderate
Local farmers reported an average harvest season due to typical rainfall.,Low
This eye-opening graph about income inequality will leave you speechless today.,Moderate
CRISIS ALERT: Deep state operatives are preparing a massive false flag event!,High
The national park service released updated trail maps for hikers.,Low
Why we should be deeply worried about the concentration of media power.,Moderate
URGENT BRIEFING: Insider reveals foreign troops pre-positioned for domestic occupation!,High
The legislature passed a routine bill extending infrastructure grants.,Low
This investigative report challenges everything we thought we knew about safety.,Moderate
A book on climate resilience strategies won this year's science award.,Low
FORBIDDEN KNOWLEDGE: Only the elite know this ancient cure for all diseases!,High
Global temperatures last month were within the historically normal range.,Low
EXPOSED: The cure for cancer has been suppressed by Big Pharma for decades!,High
The surprising way government agencies shape the news stories you consume.,Moderate
An academic conference on renewable energy was held in the capital.,Low
The transportation department started a pilot program for electric buses.,Low
Scientists completed a 10-year study on deep-sea coral reef ecosystems.,Low
This emotional story of a family torn apart by politics will move you.,Moderate
EXPOSED: Hospitals are killing patients to inflate pandemic death toll numbers!,High
LAST CHANCE: Government preparing to shut down internet access indefinitely!,High
A new community garden was planted on the city's east side.,Low
This powerful letter from a nurse is going viral and you need to read it.,Moderate
A tech company announced quarterly earnings that met analyst expectations.,Low
